"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.472797667E0,4.202963262E-1,-1.429112130E-1,2.472164771E-1,5.081226261E-1
1.482844667E0,4.382976374E-1,-1.364213884E-1,2.293003160E-1,5.131220606E-1
1.492891667E0,4.569504746E-1,-1.626701242E-1,2.329638889E-1,5.380868695E-1
1.502938667E0,4.813907397E-1,-1.705545098E-1,2.575335968E-1,5.719697881E-1
1.512985667E0,4.991319229E-1,-1.729173696E-1,3.046799889E-1,6.098056976E-1
1.523032667E0,4.995679790E-1,-1.911992741E-1,3.548271722E-1,6.418937997E-1
1.533079667E0,4.937209095E-1,-2.243886548E-1,4.010245612E-1,6.744859551E-1
1.543126667E0,5.131604165E-1,-2.352042496E-1,3.712712967E-1,6.756456378E-1
1.553173667E0,5.188421559E-1,-2.341412258E-1,2.973852950E-1,6.422283940E-1
1.563220667E0,5.127356163E-1,-2.386406583E-1,2.568284225E-1,6.211344577E-1
1.573267667E0,5.356548013E-1,-1.910425687E-1,2.997233042E-1,6.428509845E-1
1.583314667E0,5.777595779E-1,-1.386000609E-1,3.510089403E-1,6.900894022E-1
1.593361667E0,5.564055464E-1,-1.013544667E-1,3.139264834E-1,6.468459607E-1
1.603408667E0,5.124654749E-1,-1.107743311E-1,2.652261937E-1,5.875685060E-1
1.613455667E0,4.955737460E-1,-9.679013014E-2,2.632159209E-1,5.694245235E-1
1.623502667E0,5.054391682E-1,-1.122378892E-1,2.865653148E-1,5.917649670E-1
1.633549667E0,5.173081389E-1,-1.672701287E-1,2.956627053E-1,6.188727186E-1
1.643596667E0,4.704410975E-1,-2.247476739E-1,2.750895694E-1,5.894918272E-1
1.653643667E0,4.272822140E-1,-2.674855578E-1,2.796954212E-1,5.764964377E-1
1.663690250E0,4.056951709E-1,-2.450550538E-1,3.223037893E-1,5.731668899E-1
1.673737250E0,4.137485410E-1,-1.791604418E-1,3.973121640E-1,6.009519738E-1
