"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.260453588E0,3.447099924E0,7.502999902E-1,2.608700037E0,4.387569241E0
1.270380150E0,3.177500010E0,3.569999933E-1,2.100899935E0,3.825929409E0
1.280305150E0,3.002699852E0,1.030999944E-1,1.669499993E0,3.437159618E0
1.290231713E0,2.463700056E0,-5.759999901E-2,1.277599931E0,2.775859742E0
1.300158275E0,1.862699986E0,-2.119999975E-1,7.239999771E-1,2.009669426E0
1.310084838E0,1.248999953E0,-2.726999819E-1,2.425999939E-1,1.301238226E0
1.320011400E0,8.281999826E-1,-1.338000000E-1,-2.194999903E-1,8.671781230E-1
1.329937963E0,3.720999956E-1,1.968999952E-1,-6.276999712E-1,7.558010775E-1
1.339864525E0,1.040000003E-2,4.248999953E-1,-8.962000012E-1,9.918783233E-1
1.349791088E0,-4.154999852E-1,7.307999730E-1,-1.394400001E0,1.628207665E0
1.359716088E0,-1.363799930E0,7.744999528E-1,-3.636499882E0,3.960294410E0
1.369642650E0,-1.435799956E0,7.838999629E-1,-4.960999966E0,5.223747824E0
1.379569213E0,-1.008999944E0,7.691999674E-1,-5.587299824E0,5.729543507E0
1.389495775E0,-7.427999973E-1,7.663999796E-1,-5.469399929E0,5.572562817E0
1.399422338E0,-5.892999768E-1,5.981999636E-1,-4.425499916E0,4.504460807E0
1.409348900E0,-4.477999806E-1,4.113000035E-1,-3.087599993E0,3.146897874E0
1.419275463E0,-3.498999774E-1,2.062999904E-1,-1.592899919E0,1.643873423E0
1.429200463E0,-3.622999787E-1,3.189999983E-2,-5.307999849E-1,6.434496939E-1
1.439127025E0,-3.655999899E-1,-5.379999802E-2,1.555999964E-1,4.009602864E-1
1.449053588E0,-4.091999829E-1,-5.020000041E-2,6.230999827E-1,7.471400501E-1
1.458980150E0,-3.840999901E-1,6.169999763E-2,8.984999657E-1,9.791025893E-1
1.468906713E0,-2.023999989E-1,2.333999872E-1,9.435999990E-1,9.928858301E-1
1.478831713E0,-7.789999992E-2,3.364999890E-1,8.486999869E-1,9.162927046E-1
1.488758275E0,9.789999574E-2,3.811999857E-1,7.669000030E-1,8.619938821E-1
1.498684838E0,1.973000020E-1,3.662000000E-1,7.149999738E-1,8.271968891E-1
1.508611400E0,2.595999837E-1,3.305999935E-1,6.927999854E-1,8.103458070E-1
1.518537963E0,2.456000000E-1,2.064999938E-1,6.796000004E-1,7.515435902E-1
1.528464525E0,2.624999881E-1,1.603000015E-1,7.307999730E-1,7.928877189E-1
1.538391088E0,2.603999972E-1,6.439999491E-2,7.784000039E-1,8.233238026E-1
1.548316088E0,2.404999882E-1,2.669999935E-2,7.997999787E-1,8.356034587E-1
1.558242650E0,1.801999956E-1,4.690000042E-2,7.852999568E-1,8.070735224E-1
1.568169213E0,1.410000026E-1,1.056999937E-1,7.048999667E-1,7.265930446E-1
1.578095775E0,1.291999966E-1,1.344999969E-1,6.438999772E-1,6.703656233E-1
1.588022338E0,1.058999971E-1,1.334999949E-1,5.801999569E-1,6.047057532E-1
1.597948900E0,1.023999974E-1,1.516999900E-1,5.401999950E-1,5.703636393E-1
1.607875463E0,7.979999483E-2,1.300999969E-1,4.050000012E-1,4.328037076E-1
1.617800463E0,1.062999964E-1,1.083000004E-1,2.040999979E-1,2.543332233E-1
1.627727025E0,1.810999960E-1,1.843999922E-1,-4.900000058E-3,2.585044984E-1
1.637653588E0,2.166999876E-1,2.310999930E-1,-2.228000015E-1,3.873059928E-1
1.647580150E0,2.921999991E-1,2.578999996E-1,-3.030000031E-1,4.936620819E-1
1.657506713E0,3.671000004E-1,3.048000038E-1,-3.953000009E-1,6.196188694E-1
1.667433275E0,3.939999938E-1,3.319999874E-1,-4.505999982E-1,6.844708505E-1
1.677358275E0,3.942999840E-1,3.489999771E-1,-4.878000021E-1,7.177898742E-1
1.687284838E0,3.585999906E-1,2.967999876E-1,-5.568000078E-1,7.257481895E-1
1.697211400E0,2.866999805E-1,2.833999991E-1,-5.694999695E-1,6.977411078E-1
1.707137963E0,1.996999979E-1,2.496999949E-1,-6.739999652E-1,7.459933845E-1
1.717064525E0,1.401999891E-1,3.048999906E-1,-6.913999915E-1,7.685401677E-1
1.726991088E0,5.639999732E-2,2.714000046E-1,-6.847000122E-1,7.386833076E-1
1.736917650E0,9.599999525E-3,3.070999980E-1,-6.498000026E-1,7.187785557E-1
1.746844213E0,-2.019999921E-2,3.044999838E-1,-5.072000027E-1,5.919291535E-1
1.756769213E0,-2.950000018E-2,2.628000081E-1,-3.880999982E-1,4.696335836E-1
1.766695775E0,-4.959999770E-2,2.511000037E-1,-2.317999899E-1,3.453152284E-1
1.776622338E0,-3.009999916E-2,2.399999946E-1,-6.039999798E-2,2.493073748E-1
1.786548900E0,-2.479999885E-2,2.097999901E-1,6.570000201E-2,2.212409683E-1
1.796475463E0,-1.879999973E-2,1.799999923E-1,1.987999976E-1,2.688398710E-1
1.806400463E0,3.720000014E-2,1.600999981E-1,2.999999821E-1,3.420757791E-1
1.816328588E0,5.069999769E-2,1.696999967E-1,3.874999881E-1,4.260572959E-1
1.826253588E0,1.243999973E-1,1.693999916E-1,4.639999866E-1,5.093797249E-1
1.836180150E0,1.301999986E-1,1.687999964E-1,5.228999853E-1,5.646856409E-1
1.846106713E0,2.047999948E-1,1.676999927E-1,5.555999875E-1,6.154329139E-1
1.856033275E0,2.214999944E-1,1.463999897E-1,5.916999578E-1,6.485399329E-1
1.865959838E0,2.603999972E-1,1.438999921E-1,5.518999696E-1,6.269840051E-1
1.875884838E0,2.866999805E-1,1.019999981E-1,6.054999828E-1,6.776659263E-1
1.885811400E0,3.078999817E-1,6.870000064E-2,5.339999795E-1,6.202242070E-1
1.895737963E0,3.382000029E-1,5.699999630E-3,4.554999769E-1,5.673552334E-1
1.905664525E0,3.777000010E-1,-2.769999951E-2,3.687999845E-1,5.286189642E-1
1.915589525E0,4.120999873E-1,-3.309999779E-2,2.742999792E-1,4.961476473E-1
1.925517650E0,4.296999872E-1,9.800000116E-3,2.599999905E-1,5.023326727E-1
1.935444213E0,4.801999927E-1,1.010999978E-1,2.180999964E-1,5.370110343E-1
1.945369213E0,4.954999983E-1,1.815999895E-1,1.384000033E-1,5.455761775E-1
1.955295775E0,5.352999568E-1,2.906000018E-1,1.881999969E-1,6.375057989E-1
1.965222338E0,5.259000063E-1,3.877999783E-1,1.532000005E-1,6.711407303E-1
1.975148900E0,4.824999869E-1,4.468999803E-1,2.453999966E-1,7.019593921E-1
1.985073900E0,3.901999891E-1,5.040999651E-1,3.313999772E-1,7.184697288E-1
1.995000463E0,1.560999900E-1,7.271999717E-1,5.864999890E-1,9.471901830E-1
2.004927025E0,-4.409999773E-2,7.142999768E-1,7.084000111E-1,1.006975592E0
2.014853588E0,-1.533000022E-1,4.162999988E-1,3.750999868E-1,5.809531648E-1
2.024780150E0,-1.656000018E-1,-5.929999799E-2,-4.149999842E-2,1.807265897E-1
2.034706713E0,-2.606999874E-1,-1.099999994E-1,-2.189999968E-1,3.578064867E-1
2.044633275E0,-2.940999866E-1,-1.331999898E-1,-4.669999704E-2,3.262176100E-1
2.054558275E0,-3.170999885E-1,1.297999918E-1,-1.490999907E-1,3.736726479E-1
2.064484838E0,-4.174000025E-1,1.397999972E-1,-2.979999967E-2,4.411970549E-1
2.074411400E0,-4.564999938E-1,2.180999964E-1,-1.020999998E-1,5.161242706E-1
2.084337963E0,-4.707999825E-1,1.306999922E-1,-1.447999924E-1,5.096098011E-1
2.094264525E0,-4.700999856E-1,-4.799999762E-3,-1.087999940E-1,4.825499717E-1
2.104191088E0,-4.560000002E-1,1.730000041E-2,-1.703999937E-1,4.871051715E-1
2.114116088E0,-4.666999876E-1,1.187999994E-1,-1.739999950E-1,5.120530408E-1
2.124042650E0,-4.667999744E-1,1.904999912E-1,-6.359999627E-2,5.081706626E-1
2.133969213E0,-4.614999890E-1,1.270999908E-1,-6.039999798E-2,4.824777791E-1
2.143895775E0,-3.922999799E-1,1.327999979E-1,-1.143999994E-1,4.296771737E-1
2.153822338E0,-3.449999988E-1,1.384000033E-1,-1.150999963E-1,3.891369544E-1
2.163748900E0,-2.717999816E-1,6.599999964E-2,-1.247999966E-1,3.062780911E-1
2.173675463E0,-2.010999918E-1,-3.539999947E-2,-1.441999972E-1,2.499760106E-1
2.183600463E0,-1.218999997E-1,-9.759999812E-2,-1.796000004E-1,2.379948102E-1
2.193527025E0,-5.609999970E-2,-9.999999404E-2,-2.534999847E-1,2.782255399E-1
